metric_1,metric_2,spearman_rho,p_value,n
ngram_1_within,ngram_2_within,0.8857142857142858,0.01884548104956266,6
ngram_1_within,ngram_3_within,0.6,0.20799999999999982,6
ngram_1_within,ngram_4_within,0.7714285714285715,0.07239650145772594,6
ngram_1_within,ngram_1_cross_jaccard,0.8857142857142858,0.01884548104956266,6
ngram_1_within,ngram_2_cross_jaccard,1.0,0.0,6
ngram_1_within,ngram_3_cross_jaccard,0.8857142857142858,0.01884548104956266,6
ngram_1_within,ngram_4_cross_jaccard,0.7714285714285715,0.07239650145772594,6
ngram_1_within,mean_embedding_cosine,0.2571428571428572,0.6227871720116618,6
ngram_1_within,vendi_score,-0.14285714285714288,0.7871720116618075,6
ngram_2_within,ngram_3_within,0.8857142857142858,0.01884548104956266,6
ngram_2_within,ngram_4_within,0.942857142857143,0.004804664723032055,6
ngram_2_within,ngram_1_cross_jaccard,0.8857142857142858,0.01884548104956266,6
ngram_2_within,ngram_2_cross_jaccard,0.8857142857142858,0.01884548104956266,6
ngram_2_within,ngram_3_cross_jaccard,1.0,0.0,6
ngram_2_within,ngram_4_cross_jaccard,0.942857142857143,0.004804664723032055,6
ngram_2_within,mean_embedding_cosine,-0.14285714285714288,0.7871720116618075,6
ngram_2_within,vendi_score,-0.48571428571428577,0.3287230320699709,6
ngram_3_within,ngram_4_within,0.942857142857143,0.004804664723032055,6
ngram_3_within,ngram_1_cross_jaccard,0.6571428571428573,0.15617492711370237,6
ngram_3_within,ngram_2_cross_jaccard,0.6,0.20799999999999982,6
ngram_3_within,ngram_3_cross_jaccard,0.8857142857142858,0.01884548104956266,6
ngram_3_within,ngram_4_cross_jaccard,0.942857142857143,0.004804664723032055,6
ngram_3_within,mean_embedding_cosine,-0.3714285714285715,0.46847813411078715,6
ngram_3_within,vendi_score,-0.7714285714285715,0.07239650145772594,6
ngram_4_within,ngram_1_cross_jaccard,0.7714285714285715,0.07239650145772594,6
ngram_4_within,ngram_2_cross_jaccard,0.7714285714285715,0.07239650145772594,6
ngram_4_within,ngram_3_cross_jaccard,0.942857142857143,0.004804664723032055,6
ngram_4_within,ngram_4_cross_jaccard,1.0,0.0,6
ngram_4_within,mean_embedding_cosine,-0.2571428571428572,0.6227871720116618,6
ngram_4_within,vendi_score,-0.7142857142857143,0.1107871720116617,6
ngram_1_cross_jaccard,ngram_2_cross_jaccard,0.8857142857142858,0.01884548104956266,6
ngram_1_cross_jaccard,ngram_3_cross_jaccard,0.8857142857142858,0.01884548104956266,6
ngram_1_cross_jaccard,ngram_4_cross_jaccard,0.7714285714285715,0.07239650145772594,6
ngram_1_cross_jaccard,mean_embedding_cosine,-0.028571428571428574,0.9571545189504373,6
ngram_1_cross_jaccard,vendi_score,-0.14285714285714288,0.7871720116618075,6
ngram_2_cross_jaccard,ngram_3_cross_jaccard,0.8857142857142858,0.01884548104956266,6
ngram_2_cross_jaccard,ngram_4_cross_jaccard,0.7714285714285715,0.07239650145772594,6
ngram_2_cross_jaccard,mean_embedding_cosine,0.2571428571428572,0.6227871720116618,6
ngram_2_cross_jaccard,vendi_score,-0.14285714285714288,0.7871720116618075,6
ngram_3_cross_jaccard,ngram_4_cross_jaccard,0.942857142857143,0.004804664723032055,6
ngram_3_cross_jaccard,mean_embedding_cosine,-0.14285714285714288,0.7871720116618075,6
ngram_3_cross_jaccard,vendi_score,-0.48571428571428577,0.3287230320699709,6
ngram_4_cross_jaccard,mean_embedding_cosine,-0.2571428571428572,0.6227871720116618,6
ngram_4_cross_jaccard,vendi_score,-0.7142857142857143,0.1107871720116617,6
mean_embedding_cosine,vendi_score,0.6,0.20799999999999982,6
