model,family,condition,div_coeff,benchmark,n,acc,logpcc,logpcc_lo,logpcc_hi,margin,margin_lo,margin_hi
gpt2-1.5B-180M-PubMedAbs,GPT2-1.5B,pubmed,0.168,arc_easy,2376,0.338805,-26.408879,-27.038631,-25.789528,1.061312,0.791723,1.328426
gpt2-1.5B-180M-PubMedAbs,GPT2-1.5B,pubmed,0.168,hellaswag,10042,0.263692,-164.719359,-166.327894,-163.133621,-0.578949,-1.593764,0.428323
gpt2-1.5B-180M-PubMedAbs,GPT2-1.5B,pubmed,0.168,lambada_openai,5153,0.008539,-11.865936,-11.981380,-11.754248,nan,nan,nan
gpt2-1.5B-180M-PubMedAbs,GPT2-1.5B,pubmed,0.168,winogrande,1267,0.509866,-30.912660,-31.879353,-29.982513,0.004139,-0.079907,0.087894
gpt2-1.5B-180M-USPTO,GPT2-1.5B,uspto,0.158,arc_easy,2376,0.352273,-26.166165,-26.830861,-25.518434,1.098350,0.800102,1.391059
gpt2-1.5B-180M-USPTO,GPT2-1.5B,uspto,0.158,hellaswag,10042,0.264190,-152.751777,-154.275024,-151.195703,-0.617058,-1.640989,0.366373
gpt2-1.5B-180M-USPTO,GPT2-1.5B,uspto,0.158,lambada_openai,5153,0.032990,-11.658101,-11.819399,-11.504885,nan,nan,nan
gpt2-1.5B-180M-USPTO,GPT2-1.5B,uspto,0.158,winogrande,1267,0.500395,-32.126305,-33.138767,-31.152439,0.004913,-0.075074,0.084112
gpt2-1.5B-180M-USPTOAndPubMedAbs,GPT2-1.5B,mix,0.195,arc_easy,2376,0.336700,-25.528487,-26.141451,-24.928547,1.049621,0.780752,1.317536
gpt2-1.5B-180M-USPTOAndPubMedAbs,GPT2-1.5B,mix,0.195,hellaswag,10042,0.260705,-152.363260,-153.898334,-150.872938,-0.596479,-1.586488,0.391975
gpt2-1.5B-180M-USPTOAndPubMedAbs,GPT2-1.5B,mix,0.195,lambada_openai,5153,0.031826,-11.316025,-11.444093,-11.190060,nan,nan,nan
gpt2-1.5B-180M-USPTOAndPubMedAbs,GPT2-1.5B,mix,0.195,winogrande,1267,0.518548,-30.981381,-31.929216,-30.021520,0.003644,-0.073537,0.082452
gpt2-117M-2.2B-PubMedAbs,GPT2-117M,pubmed,0.168,arc_easy,2376,0.369949,-24.905811,-25.481790,-24.338081,1.308261,1.054977,1.552850
gpt2-117M-2.2B-PubMedAbs,GPT2-117M,pubmed,0.168,hellaswag,10042,0.267178,-145.803040,-147.228885,-144.352271,-0.312683,-1.265233,0.624918
gpt2-117M-2.2B-PubMedAbs,GPT2-117M,pubmed,0.168,lambada_openai,5153,0.043664,-10.165099,-10.286647,-10.048789,nan,nan,nan
gpt2-117M-2.2B-PubMedAbs,GPT2-117M,pubmed,0.168,winogrande,1267,0.504341,-28.919605,-29.831535,-28.039990,0.058351,-0.026222,0.141529
gpt2-117M-2.2B-USPTO,GPT2-117M,uspto,0.158,arc_easy,2376,0.369108,-25.108735,-25.648330,-24.568276,1.213317,0.943012,1.477992
gpt2-117M-2.2B-USPTO,GPT2-117M,uspto,0.158,hellaswag,10042,0.264887,-135.733808,-137.133682,-134.356355,-0.389462,-1.320941,0.545154
gpt2-117M-2.2B-USPTO,GPT2-117M,uspto,0.158,lambada_openai,5153,0.095284,-9.872417,-10.013575,-9.732042,nan,nan,nan
gpt2-117M-2.2B-USPTO,GPT2-117M,uspto,0.158,winogrande,1267,0.516969,-29.506432,-30.396987,-28.606458,0.043490,-0.043164,0.129893
gpt2-117M-2.2B-USPTOAndPubMedAbs,GPT2-117M,mix,0.195,arc_easy,2376,0.364899,-24.275184,-24.821922,-23.748154,1.314538,1.060803,1.568724
gpt2-117M-2.2B-USPTOAndPubMedAbs,GPT2-117M,mix,0.195,hellaswag,10042,0.263792,-134.906758,-136.238286,-133.542659,-0.326221,-1.206544,0.586080
gpt2-117M-2.2B-USPTOAndPubMedAbs,GPT2-117M,mix,0.195,lambada_openai,5153,0.095090,-9.675671,-9.813433,-9.537705,nan,nan,nan
gpt2-117M-2.2B-USPTOAndPubMedAbs,GPT2-117M,mix,0.195,winogrande,1267,0.513023,-28.966450,-29.883202,-28.096135,0.047310,-0.042168,0.134816
gpt2-204M-PubMedAbs,GPT2-204M,pubmed,0.168,arc_easy,2376,0.369108,-24.877675,-25.434121,-24.323622,1.391528,1.135493,1.643503
gpt2-204M-PubMedAbs,GPT2-204M,pubmed,0.168,hellaswag,10042,0.267775,-143.182508,-144.603315,-141.787090,-0.097099,-1.033675,0.842515
gpt2-204M-PubMedAbs,GPT2-204M,pubmed,0.168,lambada_openai,5153,0.041529,-10.436842,-10.561670,-10.308600,nan,nan,nan
gpt2-204M-PubMedAbs,GPT2-204M,pubmed,0.168,winogrande,1267,0.502762,-28.362783,-29.240789,-27.509380,-0.018130,-0.099230,0.062635
gpt2-204M-USPTO,GPT2-204M,uspto,0.158,arc_easy,2376,0.360269,-25.281566,-25.839531,-24.720673,1.261519,0.974564,1.540306
gpt2-204M-USPTO,GPT2-204M,uspto,0.158,hellaswag,10042,0.266680,-137.302147,-138.720789,-135.897511,-0.028406,-0.986084,0.909850
gpt2-204M-USPTO,GPT2-204M,uspto,0.158,lambada_openai,5153,0.080924,-10.202594,-10.349548,-10.055974,nan,nan,nan
gpt2-204M-USPTO,GPT2-204M,uspto,0.158,winogrande,1267,0.511444,-29.826457,-30.810643,-28.883781,0.014631,-0.070891,0.101337
gpt2-204M-USPTOandPubMedAbs,GPT2-204M,mix,0.195,arc_easy,4752,0.360269,-25.281566,-25.673698,-24.879395,1.261519,1.067841,1.456265
gpt2-204M-USPTOandPubMedAbs,GPT2-204M,mix,0.195,hellaswag,20084,0.266680,-137.302147,-138.298606,-136.296461,-0.028406,-0.697645,0.650468
gpt2-204M-USPTOandPubMedAbs,GPT2-204M,mix,0.195,lambada_openai,10306,0.080924,-10.202594,-10.306609,-10.096514,nan,nan,nan
gpt2-204M-USPTOandPubMedAbs,GPT2-204M,mix,0.195,winogrande,2534,0.511444,-29.826457,-30.523376,-29.144704,0.014631,-0.046133,0.074966
gpt2-345M-2.2B-PubMedAbs,GPT2-345M,pubmed,0.168,arc_easy,2376,0.369108,-25.724572,-26.258665,-25.201380,1.405704,1.165150,1.650617
gpt2-345M-2.2B-PubMedAbs,GPT2-345M,pubmed,0.168,hellaswag,10042,0.267676,-136.990045,-138.310141,-135.656932,0.025281,-0.886941,0.941271
gpt2-345M-2.2B-PubMedAbs,GPT2-345M,pubmed,0.168,lambada_openai,5153,0.061712,-9.718947,-9.842479,-9.594959,nan,nan,nan
gpt2-345M-2.2B-PubMedAbs,GPT2-345M,pubmed,0.168,winogrande,1267,0.517758,-27.445261,-28.313038,-26.578594,0.061753,-0.019912,0.140880
gpt2-345M-2.2B-USPTO,GPT2-345M,uspto,0.158,arc_easy,2376,0.382155,-23.800130,-24.318078,-23.293119,1.394449,1.143197,1.651914
gpt2-345M-2.2B-USPTO,GPT2-345M,uspto,0.158,hellaswag,10042,0.270364,-128.100528,-129.389213,-126.804516,-0.001457,-0.911684,0.880334
gpt2-345M-2.2B-USPTO,GPT2-345M,uspto,0.158,lambada_openai,5153,0.089657,-9.673788,-9.810196,-9.535773,nan,nan,nan
gpt2-345M-2.2B-USPTO,GPT2-345M,uspto,0.158,winogrande,1267,0.506709,-27.891762,-28.740556,-27.042539,0.035312,-0.047659,0.117847
gpt2-345M-2.2B-USPTOandPubMedAbs,GPT2-345M,mix,0.195,arc_easy,2376,0.391414,-23.090547,-23.603017,-22.580016,1.509650,1.270635,1.747359
gpt2-345M-2.2B-USPTOandPubMedAbs,GPT2-345M,mix,0.195,hellaswag,10042,0.270564,-127.738725,-128.989016,-126.460009,0.115939,-0.727212,0.975972
gpt2-345M-2.2B-USPTOandPubMedAbs,GPT2-345M,mix,0.195,lambada_openai,5153,0.091209,-9.442086,-9.575044,-9.308226,nan,nan,nan
gpt2-345M-2.2B-USPTOandPubMedAbs,GPT2-345M,mix,0.195,winogrande,1267,0.509077,-27.145618,-27.983044,-26.313860,0.047210,-0.035058,0.128310
gpt2-51M-1.31B-PubMedAbs,GPT2-51M-1.31B,pubmed,0.168,arc_easy,2376,0.325758,-26.614973,-27.248397,-25.973378,0.988822,0.708174,1.266163
gpt2-51M-1.31B-PubMedAbs,GPT2-51M-1.31B,pubmed,0.168,hellaswag,10042,0.263692,-168.067587,-169.701856,-166.471339,-0.713105,-1.795588,0.329414
gpt2-51M-1.31B-PubMedAbs,GPT2-51M-1.31B,pubmed,0.168,lambada_openai,5153,0.014943,-11.700847,-11.811586,-11.591937,nan,nan,nan
