model,family,condition,div_coeff,subject,n,acc,logpcc,margin,logpcc_ln,margin_ln
GPT2_1.5B_180M_PubMedAbs,GPT2-1.5B,pubmed,0.168,abstract_algebra,100,0.230000,-4.226474,-0.025003,-4.226474,-0.025003
GPT2_1.5B_180M_PubMedAbs,GPT2-1.5B,pubmed,0.168,anatomy,135,0.185185,-4.620241,-0.121942,-4.620241,-0.121942
GPT2_1.5B_180M_PubMedAbs,GPT2-1.5B,pubmed,0.168,astronomy,152,0.177632,-4.361337,-0.125025,-4.361337,-0.125025
GPT2_1.5B_180M_PubMedAbs,GPT2-1.5B,pubmed,0.168,business_ethics,100,0.300000,-4.342810,0.161043,-4.342810,0.161043
GPT2_1.5B_180M_PubMedAbs,GPT2-1.5B,pubmed,0.168,clinical_knowledge,265,0.230189,-4.507763,-0.015455,-4.507763,-0.015455
GPT2_1.5B_180M_PubMedAbs,GPT2-1.5B,pubmed,0.168,college_biology,144,0.243056,-4.149609,-0.037707,-4.149609,-0.037707
GPT2_1.5B_180M_PubMedAbs,GPT2-1.5B,pubmed,0.168,college_chemistry,100,0.230000,-3.917755,-0.000459,-3.917755,-0.000459
GPT2_1.5B_180M_PubMedAbs,GPT2-1.5B,pubmed,0.168,college_computer_science,100,0.250000,-4.328913,-0.015566,-4.328913,-0.015566
GPT2_1.5B_180M_PubMedAbs,GPT2-1.5B,pubmed,0.168,college_mathematics,100,0.210000,-4.319245,-0.061539,-4.319245,-0.061539
GPT2_1.5B_180M_PubMedAbs,GPT2-1.5B,pubmed,0.168,college_medicine,173,0.231214,-4.400443,-0.041027,-4.400443,-0.041027
GPT2_1.5B_180M_PubMedAbs,GPT2-1.5B,pubmed,0.168,college_physics,102,0.215686,-4.160754,-0.132607,-4.160754,-0.132607
GPT2_1.5B_180M_PubMedAbs,GPT2-1.5B,pubmed,0.168,computer_security,100,0.280000,-4.366278,-0.021904,-4.366278,-0.021904
GPT2_1.5B_180M_PubMedAbs,GPT2-1.5B,pubmed,0.168,conceptual_physics,235,0.255319,-4.265530,0.040236,-4.265530,0.040236
GPT2_1.5B_180M_PubMedAbs,GPT2-1.5B,pubmed,0.168,econometrics,114,0.236842,-4.408807,-0.090431,-4.408807,-0.090431
GPT2_1.5B_180M_PubMedAbs,GPT2-1.5B,pubmed,0.168,electrical_engineering,145,0.268966,-4.093922,0.047150,-4.093922,0.047150
GPT2_1.5B_180M_PubMedAbs,GPT2-1.5B,pubmed,0.168,elementary_mathematics,378,0.224868,-4.223449,-0.058561,-4.223449,-0.058561
GPT2_1.5B_180M_PubMedAbs,GPT2-1.5B,pubmed,0.168,formal_logic,126,0.238095,-4.134219,0.103751,-4.134219,0.103751
GPT2_1.5B_180M_PubMedAbs,GPT2-1.5B,pubmed,0.168,global_facts,100,0.180000,-4.606090,-0.148852,-4.606090,-0.148852
GPT2_1.5B_180M_PubMedAbs,GPT2-1.5B,pubmed,0.168,high_school_biology,310,0.183871,-4.265217,-0.082962,-4.265217,-0.082962
GPT2_1.5B_180M_PubMedAbs,GPT2-1.5B,pubmed,0.168,high_school_chemistry,203,0.177340,-4.005132,-0.106414,-4.005132,-0.106414
GPT2_1.5B_180M_PubMedAbs,GPT2-1.5B,pubmed,0.168,high_school_computer_science,100,0.250000,-4.478442,-0.125366,-4.478442,-0.125366
GPT2_1.5B_180M_PubMedAbs,GPT2-1.5B,pubmed,0.168,high_school_european_history,165,0.218182,-4.748418,-0.085104,-4.748418,-0.085104
GPT2_1.5B_180M_PubMedAbs,GPT2-1.5B,pubmed,0.168,high_school_geography,198,0.181818,-4.397191,-0.099885,-4.397191,-0.099885
GPT2_1.5B_180M_PubMedAbs,GPT2-1.5B,pubmed,0.168,high_school_government_and_politics,193,0.202073,-4.633832,-0.031394,-4.633832,-0.031394
GPT2_1.5B_180M_PubMedAbs,GPT2-1.5B,pubmed,0.168,high_school_macroeconomics,390,0.220513,-4.358005,0.049725,-4.358005,0.049725
GPT2_1.5B_180M_PubMedAbs,GPT2-1.5B,pubmed,0.168,high_school_mathematics,270,0.211111,-4.229182,-0.089694,-4.229182,-0.089694
GPT2_1.5B_180M_PubMedAbs,GPT2-1.5B,pubmed,0.168,high_school_microeconomics,238,0.235294,-4.334367,0.041529,-4.334367,0.041529
GPT2_1.5B_180M_PubMedAbs,GPT2-1.5B,pubmed,0.168,high_school_physics,151,0.172185,-4.259786,-0.081684,-4.259786,-0.081684
GPT2_1.5B_180M_PubMedAbs,GPT2-1.5B,pubmed,0.168,high_school_psychology,545,0.188991,-4.571864,-0.090423,-4.571864,-0.090423
GPT2_1.5B_180M_PubMedAbs,GPT2-1.5B,pubmed,0.168,high_school_statistics,216,0.162037,-4.417261,-0.005093,-4.417261,-0.005093
GPT2_1.5B_180M_PubMedAbs,GPT2-1.5B,pubmed,0.168,high_school_us_history,204,0.250000,-4.691774,0.023537,-4.691774,0.023537
GPT2_1.5B_180M_PubMedAbs,GPT2-1.5B,pubmed,0.168,high_school_world_history,237,0.270042,-4.656681,0.025519,-4.656681,0.025519
GPT2_1.5B_180M_PubMedAbs,GPT2-1.5B,pubmed,0.168,human_aging,223,0.318386,-4.466657,0.194949,-4.466657,0.194949
GPT2_1.5B_180M_PubMedAbs,GPT2-1.5B,pubmed,0.168,human_sexuality,131,0.251908,-4.427275,0.043914,-4.427275,0.043914
GPT2_1.5B_180M_PubMedAbs,GPT2-1.5B,pubmed,0.168,international_law,121,0.247934,-4.840532,-0.052128,-4.840532,-0.052128
