model,family,condition,div,group,n,logpcc,logpcc_lo,logpcc_hi,margin,margin_lo,margin_hi,logpcc_ln,logpcc_ln_lo,logpcc_ln_hi,margin_ln,margin_ln_lo,margin_ln_hi,acc,acc_lo,acc_hi
GPT2_1.5B_180M_PubMedAbs,GPT2-1.5B,pubmed,0.168,MED,1089,-4.367047798206655,-4.415142852746642,-4.318926799155026,-0.05463431970329505,-0.10796116619326121,6.446193984628999e-06,-4.367047798206655,-4.41474609752934,-4.3191058917451715,-0.05463431970329505,-0.10785357549645173,0.0008696063901438833,0.2194674012855831,0.19559228650137742,0.24426078971533516
GPT2_1.5B_180M_PubMedAbs,GPT2-1.5B,pubmed,0.168,GEN,14042,-4.4766955512776505,-4.489371385174359,-4.464187101616112,-0.020608995475021066,-0.034647080334427746,-0.006079794494015584,-4.4766955512776505,-4.489543973278531,-4.463867760423649,-0.020608995475021066,-0.03509044002164822,-0.006392546061201612,0.23237430565446518,0.22546467739638226,0.23928215353938184
GPT2_1.5B_180M_USPTO,GPT2-1.5B,uspto,0.158,MED,1089,-5.362819493637926,-5.4432914227603,-5.283860072934156,-0.055757857770192924,-0.14927406332928506,0.037083965098416376,-5.362819493637926,-5.443116047400964,-5.283174855255884,-0.055757857770192924,-0.14502875105773486,0.03566774702743541,0.21671258034894397,0.1919191919191919,0.24150596877869604
GPT2_1.5B_180M_USPTO,GPT2-1.5B,uspto,0.158,GEN,14042,-5.723810357265434,-5.749016948223003,-5.698661774727774,-0.04488159948811823,-0.07377029846509525,-0.01563599856158006,-5.723810357265434,-5.748766534814229,-5.698665196872721,-0.04488159948811823,-0.07422414428883398,-0.01564461764294679,0.2299529981484119,0.2229739353368466,0.23678963110667997
GPT2_1.5B_180M_USPTOAndPubMedAbs,GPT2-1.5B,mix,0.195,MED,1089,-5.3539616706942725,-5.427122050594911,-5.282106384446142,-0.06692224615095295,-0.1507914334061243,0.015029679695363783,-5.3539616706942725,-5.42680335669916,-5.282560087941566,-0.06692224615095295,-0.15207050231242347,0.017102887152822696,0.2194674012855831,0.19559228650137742,0.24426078971533516
GPT2_1.5B_180M_USPTOAndPubMedAbs,GPT2-1.5B,mix,0.195,GEN,14042,-5.760222320100925,-5.781588742664364,-5.739044705522933,-0.04638216322102122,-0.07204535899898105,-0.02142088882812933,-5.760222320100925,-5.781805884292018,-5.739223042421022,-0.04638216322102122,-0.07140991127893397,-0.02105924693153654,0.22981056829511465,0.22276029055690072,0.23678963110667997
GPT2_117M_2.2B_PubMedAbs,GPT2-117M,pubmed,0.168,MED,1089,-4.042245920258339,-4.094704009279185,-3.989677962365229,-0.050318973451934895,-0.11732379515984023,0.015246524775579215,-4.042245920258339,-4.093849091334448,-3.989658030038366,-0.050318973451934895,-0.1164503487965584,0.016075377216899552,0.21671258034894397,0.1928374655647383,0.24058769513314968
GPT2_117M_2.2B_PubMedAbs,GPT2-117M,pubmed,0.168,GEN,14042,-4.227508600477037,-4.24350809691923,-4.211445751389986,-0.03738277411407675,-0.05696545652399623,-0.01793911040751778,-4.227508600477037,-4.243336377295524,-4.211790506183473,-0.03738277411407675,-0.05717411581721337,-0.017804011122564502,0.22973935336846604,0.22290272041019799,0.2366472012533827
GPT2_117M_2.2B_USPTO,GPT2-117M,uspto,0.158,MED,1089,-4.67512783367115,-4.727057262100245,-4.622841933320376,-0.07395900645896787,-0.13165066246140575,-0.016607816827052736,-4.67512783367115,-4.726401750205634,-4.623509755892092,-0.07395900645896787,-0.13224304935455614,-0.015828602466154144,0.20752984389348025,0.18365472910927455,0.23232323232323232
GPT2_117M_2.2B_USPTO,GPT2-117M,uspto,0.158,GEN,14042,-4.966225343982543,-4.982970012575197,-4.949623982635909,-0.03376028556200716,-0.053360643724099585,-0.014367662050292985,-4.966225343982543,-4.983170022347377,-4.948976242890548,-0.03376028556200716,-0.05335654972807971,-0.013977398003632777,0.2316621563879789,0.2246830935764136,0.23871243412619286
GPT2_117M_2.2B_USPTOAndPubMedAbs,GPT2-117M,mix,0.195,MED,1089,-4.842844258655202,-4.901642683443945,-4.784568347076521,-0.057931318974910904,-0.12537387615867374,0.00802826322763379,-4.842844258655202,-4.901037837243386,-4.7865006552309595,-0.057931318974910904,-0.1259671010918525,0.009556034824918944,0.22865013774104684,0.20477502295684114,0.25436179981634527
GPT2_117M_2.2B_USPTOAndPubMedAbs,GPT2-117M,mix,0.195,GEN,14042,-5.086264926073745,-5.104748510410687,-5.067592753835628,-0.02417094183518258,-0.046012401724212025,-0.0018560237316263997,-5.086264926073745,-5.104729242889422,-5.067721526058179,-0.02417094183518258,-0.045854439803837806,-0.0018805560830854862,0.23565019228030196,0.22874234439538527,0.24277168494516452
GPT2_204M_PubMedAbs,GPT2-204M,pubmed,0.168,MED,1089,-4.5798418298568935,-4.6339234934748585,-4.5274306901887105,-0.012739823650503725,-0.07750826905472111,0.05163764331842148,-4.5798418298568935,-4.632519539673466,-4.527054668403307,-0.012739823650503725,-0.07767784503354988,0.049642106141743386,0.2157943067033976,0.1919191919191919,0.24058769513314968
GPT2_204M_PubMedAbs,GPT2-204M,pubmed,0.168,GEN,14042,-4.762167913445786,-4.779347929818188,-4.744788292158815,-0.028697182637178305,-0.049067117162524584,-0.008593304460869231,-4.762167913445786,-4.779776031932181,-4.7448833268155415,-0.028697182637178305,-0.049057820398306196,-0.00811063673049927,0.23038028770830365,0.22333000997008973,0.23735935051986898
GPT2_204M_USPTO,GPT2-204M,uspto,0.158,MED,1089,-5.272688149311216,-5.352848530516261,-5.190908509492874,-0.12863119698680064,-0.22841222174112166,-0.028863041686252804,-5.272688149311216,-5.350442471202631,-5.193339439706588,-0.12863119698680064,-0.23011153991575595,-0.02631949547291679,0.21671258034894397,0.1919191919191919,0.24058769513314968
GPT2_204M_USPTO,GPT2-204M,uspto,0.158,GEN,14042,-5.614415961628778,-5.638470116254908,-5.590197581075064,-0.07167720993897551,-0.10056072570567841,-0.042233482176043675,-5.614415961628778,-5.639062760365797,-5.590832962327925,-0.07167720993897551,-0.10206166235642945,-0.041767129339237076,0.22973935336846604,0.22283150548354935,0.2366472012533827
GPT2_345M_2.2B_PubMedAbs,GPT2-345M,pubmed,0.168,MED,1089,-4.086966276168823,-4.143767146543147,-4.0317440326986675,0.0034619020985141176,-0.06577230922793408,0.07227557897294079,-4.086966276168823,-4.142389814119146,-4.030488876178793,0.0034619020985141176,-0.06666552064467685,0.07435646749323646,0.22038567493112948,0.19559228650137742,0.24517906336088155
GPT2_345M_2.2B_PubMedAbs,GPT2-345M,pubmed,0.168,GEN,14042,-4.208906993594643,-4.22637568509442,-4.1915574714486254,-0.02889064498670544,-0.05124301918720082,-0.0058388443944665126,-4.208906993594643,-4.226712619054523,-4.191110404687905,-0.02889064498670544,-0.05146702923765324,-0.006351675122604188,0.23080757726819542,0.224042159236576,0.23778664007976072
GPT2_345M_2.2B_USPTO,GPT2-345M,uspto,0.158,MED,1089,-5.231889190314777,-5.317896827724245,-5.143853519735148,-0.09376889622317275,-0.19577692350025458,0.00811983633012186,-5.231889190314777,-5.31763276624176,-5.144600058269676,-0.09376889622317275,-0.19389954345705024,0.009149896353255098,0.22130394857667585,0.19651056014692378,0.2460973370064279
GPT2_345M_2.2B_USPTO,GPT2-345M,uspto,0.158,GEN,14042,-5.7079808890369605,-5.737501461998959,-5.678772866297203,-0.0898683760963387,-0.12498559776467373,-0.053444426071035125,-5.7079808890369605,-5.7365904008278035,-5.678564995573854,-0.0898683760963387,-0.12536616098734044,-0.0541145795695291,0.22981056829511465,0.22290272041019799,0.23686084603332858
GPT2_345M_2.2B_USPTOAndPubMedAbs,GPT2-345M,mix,0.195,MED,1089,-5.5653141730416245,-5.663790393644676,-5.469950243450284,-0.15278493219608555,-0.269556543614144,-0.03799842793915225,-5.5653141730416245,-5.662032744373281,-5.467769873284549,-0.15278493219608555,-0.2693240254679549,-0.036857731978317494,0.21854912764003673,0.19467401285583102,0.2433425160697888
GPT2_345M_2.2B_USPTOAndPubMedAbs,GPT2-345M,mix,0.195,GEN,14042,-6.003630960586998,-6.032701579915918,-5.974460482165024,-0.09268502980981443,-0.12937008425871405,-0.05565875546696951,-6.003630960586998,-6.032919154139712,-5.97473584065205,-0.09268502980981443,-0.12980160792197493,-0.055636618021110334,0.23023785785500642,0.22333000997008973,0.2372187010397379
GPT2_51M_1.31B_PubMedAbs,GPT2-51M-1.31B,pubmed,0.168,MED,1089,-4.967862167415321,-5.020908463036828,-4.915291425676057,-0.030355517310325538,-0.0732544446122876,0.013052144537177828,-4.967862167415321,-5.020415337532896,-4.916380312767895,-0.030355517310325538,-0.07386628390909299,0.013260704621029516,0.2369146005509642,0.21212121212121213,0.26262626262626265
GPT2_51M_1.31B_PubMedAbs,GPT2-51M-1.31B,pubmed,0.168,GEN,14042,-5.189982175555363,-5.203464571308791,-5.176712260388391,-0.012173362795412273,-0.023407616431547675,-0.001062588945575207,-5.189982175555363,-5.203475380203838,-5.176283173785919,-0.012173362795412273,-0.023114118327789087,-0.0009799314672983876,0.23871243412619286,0.23173337131462754,0.24569149693775816
GPT2_51M_1.31B_USPTO,GPT2-51M-1.31B,uspto,0.158,MED,1089,-5.5424822264575875,-5.623463383035117,-5.457503231508783,-0.06537692427160838,-0.16159338424210887,0.031145585959826833,-5.5424822264575875,-5.6251617399566864,-5.457670834934197,-0.06537692427160838,-0.16107593314214186,0.030612586839577828,0.2157943067033976,0.1919191919191919,0.24058769513314968
GPT2_51M_1.31B_USPTO,GPT2-51M-1.31B,uspto,0.158,GEN,14042,-5.812905626688532,-5.838109857120918,-5.7880667914568384,-0.06596190545942993,-0.09661311836836203,-0.03557173210731521,-5.812905626688532,-5.837896931564693,-5.787066301838436,-0.06596190545942993,-0.09621048774576418,-0.035219256014936376,0.22902720410197977,0.22204814129041447,0.23615047714000853
GPT2_51M_1.31B_USPTOAndPubMedAbs,GPT2-51M-1.31B,mix,0.195,MED,1089,-5.724873836813332,-5.820867927940315,-5.632222668094521,-0.18106149379215292,-0.28945251571172453,-0.07407856000137505,-5.724873836813332,-5.819157209951358,-5.629368025064468,-0.18106149379215292,-0.2864898861895871,-0.07159301642799443,0.21854912764003673,0.19467401285583102,0.2433425160697888
GPT2_51M_1.31B_USPTOAndPubMedAbs,GPT2-51M-1.31B,mix,0.195,GEN,14042,-5.96161009556988,-5.988043384685881,-5.93475363744093,-0.07854849178216139,-0.1115584675248988,-0.04607228781947133,-5.96161009556988,-5.988220651686752,-5.935127479251829,-0.07854849178216139,-0.11053547298482912,-0.04620078594604632,0.22973935336846604,0.22290272041019799,0.2366489816265489
GPT2_51M_557M_PubMedAbs,GPT2-51M-557M,pubmed,0.168,MED,1089,-4.637211762402887,-4.697424567156258,-4.577498411765549,-0.07672826565840868,-0.13425513046905102,-0.017281335723630026,-4.637211762402887,-4.697404740637218,-4.578361837758834,-0.07672826565840868,-0.13476522462536591,-0.018128008506040467,0.21763085399449036,0.19375573921028466,0.24242424242424243
GPT2_51M_557M_PubMedAbs,GPT2-51M-557M,pubmed,0.168,GEN,14042,-5.049745809707593,-5.067179522442522,-5.032502572433067,-0.03846913268806893,-0.05608045817997722,-0.02093208478253005,-5.049745809707593,-5.066840474436789,-5.033570124976164,-0.03846913268806893,-0.05570465514811051,-0.020215165693467995,0.23066514741489816,0.22389972938327873,0.2377154251531121
GPT2_51M_557M_USPTO,GPT2-51M-557M,uspto,0.158,MED,1089,-5.977636260708283,-6.062359282846457,-5.891693455504922,-0.095306934239779,-0.1921206941959834,0.0033478344899818924,-5.977636260708283,-6.066043503438802,-5.891691153821483,-0.095306934239779,-0.19463309879729165,0.0016418556098657107,0.2157943067033976,0.1919191919191919,0.24058769513314968
GPT2_51M_557M_USPTO,GPT2-51M-557M,uspto,0.158,GEN,14042,-6.30585375717691,-6.332732270398556,-6.278349726496981,-0.07162363627372018,-0.10274168159535897,-0.040020720237379764,-6.30585375717691,-6.332306750818903,-6.278944982936253,-0.07162363627372018,-0.10207057379390252,-0.040986707977897864,0.22952570858852014,0.22261786070360348,0.23643355647343683
GPT2_51M_557M_USPTOAndPubMedAbs,GPT2-51M-557M,mix,0.195,MED,1089,-4.784863910508659,-4.85168171278975,-4.715524368993835,-0.07412414558808811,-0.15865462626070287,0.009912923003031213,-4.784863910508659,-4.851848679427929,-4.715548184708349,-0.07412414558808811,-0.15744280569280436,0.011361946560098098,0.2157943067033976,0.19100091827364554,0.2396694214876033
GPT2_51M_557M_USPTOAndPubMedAbs,GPT2-51M-557M,mix,0.195,GEN,14042,-4.990573001160884,-5.012074924244354,-4.969499380225648,-0.04936291358412397,-0.0752049137422775,-0.022791383326497903,-4.990573001160884,-5.011973972106665,-4.969256713960716,-0.04936291358412397,-0.07522003701368708,-0.02345495635866186,0.22981056829511465,0.22290094003703176,0.23686084603332858
GPT2_810M_PubMedAbs,GPT2-810M,pubmed,0.168,MED,1089,-4.971236108748381,-5.035644613519735,-4.9059777068205115,-0.10292283475015884,-0.1858727592720619,-0.02064613954605661,-4.971236108748381,-5.037604841811598,-4.90584884484609,-0.10292283475015884,-0.18442353313582951,-0.0170634369274364,0.2157943067033976,0.1919191919191919,0.24058769513314968
GPT2_810M_PubMedAbs,GPT2-810M,pubmed,0.168,GEN,14042,-5.199719527120553,-5.21954130691233,-5.179439608137453,-0.06713721888903985,-0.09272029680024692,-0.04142789574340783,-5.199719527120553,-5.219619072123295,-5.179823469445841,-0.06713721888903985,-0.09336700852466365,-0.0419480180274001,0.22945449366187154,0.22261786070360348,0.23643355647343683
LLama2_Pubmed_Ckpt_2,LLaMA2-7B,pubmed,0.168,MED,1089,-11.928151224379807,-11.988624282229155,-11.866288712508531,0.046221512700207266,-0.03562469087611801,0.12583454821428683,-11.928151224379807,-11.991834835222383,-11.867576381041438,0.046221512700207266,-0.03468283729740045,0.12702105355474394,0.26905417814508725,0.24242424242424243,0.2956841138659321
LLama2_Pubmed_Ckpt_2,LLaMA2-7B,pubmed,0.168,GEN,14042,-11.971374954597986,-11.991550668638125,-11.951960586601642,0.015623679399003625,-0.01062098263969779,0.04170947196402905,-11.971374954597986,-11.991509218252277,-11.951650309472694,0.015623679399003625,-0.01017584153708584,0.04162402476520951,0.25359635379575557,0.2464036462042444,0.26078906138726676
LLama2_Pubmed_Ckpt_7,LLaMA2-7B,pubmed,0.168,MED,1089,-10.616167265521593,-10.694304083792632,-10.538280447017609,-0.21934544350490098,-0.3208487031472214,-0.11527709859133425,-10.616167265521593,-10.693215050776143,-10.539744755978754,-0.21934544350490098,-0.32194241924245026,-0.11538384988981543,0.20752984389348025,0.18365472910927455,0.23140495867768596
LLama2_Pubmed_Ckpt_7,LLaMA2-7B,pubmed,0.168,GEN,14042,-10.521650656219427,-10.541785399906317,-10.50149812934202,-0.009025576458421917,-0.035955658791745844,0.0172479562548747,-10.521650656219427,-10.542062779310642,-10.501886201298758,-0.009025576458421917,-0.03562415952000621,0.01779589371136075,0.2457627118644068,0.23871243412619286,0.252955419455918
