model,family,condition,slice,n,ce,ce_lo,ce_hi
gpt2-51M-1.31B-USPTO,GPT2-51M-1.31B,uspto,MED,427,5.243979,5.173698,5.313198
gpt2-51M-1.31B-USPTO,GPT2-51M-1.31B,uspto,PATENT,6,3.484949,2.580325,4.776637
gpt2-51M-1.31B-USPTO,GPT2-51M-1.31B,uspto,NEITHER,19567,6.149397,6.137237,6.161691
gpt2-51M-1.31B-PubMedAbs,GPT2-51M-1.31B,pubmed,MED,427,4.967923,4.891573,5.041501
gpt2-51M-1.31B-PubMedAbs,GPT2-51M-1.31B,pubmed,PATENT,6,4.460031,3.982620,5.014655
gpt2-51M-1.31B-PubMedAbs,GPT2-51M-1.31B,pubmed,NEITHER,19567,6.189244,6.177905,6.200288
gpt2-51M-1.31B-USPTOAndPubMedAbs,GPT2-51M-1.31B,mix,MED,427,4.903500,4.832469,4.975954
gpt2-51M-1.31B-USPTOAndPubMedAbs,GPT2-51M-1.31B,mix,PATENT,6,3.407389,2.666908,4.447520
gpt2-51M-1.31B-USPTOAndPubMedAbs,GPT2-51M-1.31B,mix,NEITHER,19567,5.944418,5.932602,5.956024
gpt2-51M-557M-USPTO,GPT2-51M-557M,uspto,MED,427,5.116699,5.043720,5.190406
gpt2-51M-557M-USPTO,GPT2-51M-557M,uspto,PATENT,6,3.375403,2.506176,4.593673
gpt2-51M-557M-USPTO,GPT2-51M-557M,uspto,NEITHER,19567,6.084086,6.071114,6.097614
gpt2-51M-557M-PubMedAbs,GPT2-51M-557M,pubmed,MED,427,4.870263,4.793877,4.947621
gpt2-51M-557M-PubMedAbs,GPT2-51M-557M,pubmed,PATENT,6,4.336796,3.851087,4.930236
gpt2-51M-557M-PubMedAbs,GPT2-51M-557M,pubmed,NEITHER,19567,6.130295,6.118373,6.142004
gpt2-51M-557M-USPTOAndPubMedAbs,GPT2-51M-557M,mix,MED,427,4.824216,4.750981,4.897750
gpt2-51M-557M-USPTOAndPubMedAbs,GPT2-51M-557M,mix,PATENT,6,3.348252,2.630902,4.425771
gpt2-51M-557M-USPTOAndPubMedAbs,GPT2-51M-557M,mix,NEITHER,19567,5.905462,5.893307,5.917677
gpt2-117M-2.2B-USPTO,GPT2-117M,uspto,MED,427,4.584301,4.512059,4.655998
gpt2-117M-2.2B-USPTO,GPT2-117M,uspto,PATENT,6,2.898931,2.057386,4.039652
gpt2-117M-2.2B-USPTO,GPT2-117M,uspto,NEITHER,19567,5.545283,5.532603,5.557657
gpt2-117M-2.2B-PubMedAbs,GPT2-117M,pubmed,MED,427,4.334674,4.258406,4.410841
gpt2-117M-2.2B-PubMedAbs,GPT2-117M,pubmed,PATENT,6,3.757733,3.286514,4.315186
gpt2-117M-2.2B-PubMedAbs,GPT2-117M,pubmed,NEITHER,19567,5.571970,5.560177,5.583860
gpt2-117M-2.2B-USPTOAndPubMedAbs,GPT2-117M,mix,MED,427,4.323135,4.247486,4.398174
gpt2-117M-2.2B-USPTOAndPubMedAbs,GPT2-117M,mix,PATENT,6,2.912061,2.128213,3.985982
gpt2-117M-2.2B-USPTOAndPubMedAbs,GPT2-117M,mix,NEITHER,19567,5.407556,5.395082,5.420310
gpt2-204M-USPTO,GPT2-204M,uspto,MED,427,4.622335,4.545864,4.699294
gpt2-204M-USPTO,GPT2-204M,uspto,PATENT,6,2.973370,2.054199,4.216135
gpt2-204M-USPTO,GPT2-204M,uspto,NEITHER,19567,5.671364,5.657294,5.685227
gpt2-204M-PubMedAbs,GPT2-204M,pubmed,MED,427,4.265151,4.189053,4.341248
gpt2-204M-PubMedAbs,GPT2-204M,pubmed,PATENT,6,3.717405,3.278521,4.253869
gpt2-204M-PubMedAbs,GPT2-204M,pubmed,NEITHER,19567,5.529664,5.517400,5.541833
gpt2-204M-USPTOandPubMedAbs,GPT2-204M,mix,MED,427,4.622335,4.544801,4.699828
gpt2-204M-USPTOandPubMedAbs,GPT2-204M,mix,PATENT,6,2.973370,2.067378,4.197903
gpt2-204M-USPTOandPubMedAbs,GPT2-204M,mix,NEITHER,19567,5.671364,5.657214,5.685614
gpt2-345M-2.2B-USPTO,GPT2-345M,uspto,MED,427,4.338101,4.265078,4.411437
gpt2-345M-2.2B-USPTO,GPT2-345M,uspto,PATENT,6,2.731040,1.904122,3.844342
gpt2-345M-2.2B-USPTO,GPT2-345M,uspto,NEITHER,19567,5.320419,5.307949,5.333063
gpt2-345M-2.2B-PubMedAbs,GPT2-345M,pubmed,MED,427,4.072604,3.998699,4.148608
gpt2-345M-2.2B-PubMedAbs,GPT2-345M,pubmed,PATENT,6,3.494307,3.040420,4.033555
gpt2-345M-2.2B-PubMedAbs,GPT2-345M,pubmed,NEITHER,19567,5.319957,5.308003,5.332379
gpt2-345M-2.2B-USPTOandPubMedAbs,GPT2-345M,mix,MED,427,4.068130,3.992508,4.142942
gpt2-345M-2.2B-USPTOandPubMedAbs,GPT2-345M,mix,PATENT,6,2.726171,1.958809,3.737472
gpt2-345M-2.2B-USPTOandPubMedAbs,GPT2-345M,mix,NEITHER,19567,5.173459,5.160956,5.185958
gpt2-810M-PubMedAbs,GPT2-810M,pubmed,MED,427,3.975507,3.900550,4.050898
gpt2-810M-PubMedAbs,GPT2-810M,pubmed,PATENT,6,3.403652,2.913680,4.020596
gpt2-810M-PubMedAbs,GPT2-810M,pubmed,NEITHER,19567,5.213698,5.201340,5.225975
gpt2-810M-2.2B-USPTOAndPubMedAbs,GPT2-810M,mix,MED,427,4.584301,4.512734,4.658142
gpt2-810M-2.2B-USPTOAndPubMedAbs,GPT2-810M,mix,PATENT,6,2.898931,2.057386,4.039652
gpt2-810M-2.2B-USPTOAndPubMedAbs,GPT2-810M,mix,NEITHER,19567,5.545283,5.532414,5.557831
gpt2-1.5B-180M-USPTO,GPT2-1.5B,uspto,MED,427,5.350729,5.272875,5.425206
gpt2-1.5B-180M-USPTO,GPT2-1.5B,uspto,PATENT,6,3.720006,2.683475,5.136514
gpt2-1.5B-180M-USPTO,GPT2-1.5B,uspto,NEITHER,19567,6.379415,6.365078,6.393307
gpt2-1.5B-180M-PubMedAbs,GPT2-1.5B,pubmed,MED,427,4.735892,4.657906,4.813431
gpt2-1.5B-180M-PubMedAbs,GPT2-1.5B,pubmed,PATENT,6,4.294229,3.834189,4.843195
gpt2-1.5B-180M-PubMedAbs,GPT2-1.5B,pubmed,NEITHER,19567,6.101781,6.089569,6.113678
gpt2-1.5B-180M-USPTOAndPubMedAbs,GPT2-1.5B,mix,MED,427,4.797401,4.719749,4.874804
gpt2-1.5B-180M-USPTOAndPubMedAbs,GPT2-1.5B,mix,PATENT,6,3.437390,2.670560,4.510798
gpt2-1.5B-180M-USPTOAndPubMedAbs,GPT2-1.5B,mix,NEITHER,19567,5.986081,5.973338,5.998480
llama2-uspto-ckpt-1,LLaMA2-7B,uspto,MED,427,11.147665,11.140463,11.154862
llama2-uspto-ckpt-1,LLaMA2-7B,uspto,PATENT,6,11.189750,11.146680,11.232409
llama2-uspto-ckpt-1,LLaMA2-7B,uspto,NEITHER,19567,11.153790,11.152126,11.155434
llama2-pubmed-ckpt-2,LLaMA2-7B,pubmed,MED,427,11.180373,11.173714,11.187122
llama2-pubmed-ckpt-2,LLaMA2-7B,pubmed,PATENT,6,11.191434,11.147468,11.237859
llama2-pubmed-ckpt-2,LLaMA2-7B,pubmed,NEITHER,19567,11.208394,11.206794,11.209983
llama2-pubmed-ckpt-7,LLaMA2-7B,pubmed,MED,427,11.212848,11.204021,11.221282
llama2-pubmed-ckpt-7,LLaMA2-7B,pubmed,PATENT,6,11.263637,11.210671,11.319976
